Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2018SM09	39
Total Nacional	34 Palencia	Dato base	2018SM08	37
Total Nacional	34 Palencia	Dato base	2018SM07	57
Total Nacional	34 Palencia	Dato base	2018SM06	52
Total Nacional	34 Palencia	Dato base	2018SM05	65
Total Nacional	34 Palencia	Dato base	2018SM04	51
Total Nacional	34 Palencia	Dato base	2018SM03	57
Total Nacional	34 Palencia	Dato base	2018SM02	46
Total Nacional	34 Palencia	Dato base	2018SM01	44
Total Nacional	34 Palencia	Dato base	2017SM52	45
Total Nacional	34 Palencia	Dato base	2017SM51	44
Total Nacional	34 Palencia	Dato base	2017SM50	46
Total Nacional	34 Palencia	Dato base	2017SM49	40
Total Nacional	34 Palencia	Dato base	2017SM48	37
Total Nacional	34 Palencia	Dato base	2017SM47	38
Total Nacional	34 Palencia	Dato base	2017SM46	45
Total Nacional	34 Palencia	Dato base	2017SM45	29
Total Nacional	34 Palencia	Dato base	2017SM44	49
Total Nacional	34 Palencia	Dato base	2017SM43	34
Total Nacional	34 Palencia	Dato base	2017SM42	41
Total Nacional	34 Palencia	Dato base	2017SM41	31
Total Nacional	34 Palencia	Dato base	2017SM40	47
Total Nacional	34 Palencia	Dato base	2017SM39	42
Total Nacional	34 Palencia	Dato base	2017SM38	38
Total Nacional	34 Palencia	Dato base	2017SM37	40
Total Nacional	34 Palencia	Dato base	2017SM36	36
Total Nacional	34 Palencia	Dato base	2017SM35	31
Total Nacional	34 Palencia	Dato base	2017SM34	38
Total Nacional	34 Palencia	Dato base	2017SM33	39
Total Nacional	34 Palencia	Dato base	2017SM32	29
Total Nacional	34 Palencia	Dato base	2017SM31	38
Total Nacional	34 Palencia	Dato base	2017SM30	25
Total Nacional	34 Palencia	Dato base	2017SM29	50
Total Nacional	34 Palencia	Dato base	2017SM28	28
Total Nacional	34 Palencia	Dato base	2017SM27	30
Total Nacional	34 Palencia	Dato base	2017SM26	28
Total Nacional	34 Palencia	Dato base	2017SM25	40
Total Nacional	34 Palencia	Dato base	2017SM24	41
Total Nacional	34 Palencia	Dato base	2017SM23	30
Total Nacional	34 Palencia	Dato base	2017SM22	40
Total Nacional	34 Palencia	Dato base	2017SM21	36
Total Nacional	34 Palencia	Dato base	2017SM20	41
Total Nacional	34 Palencia	Dato base	2017SM19	32
Total Nacional	34 Palencia	Dato base	2017SM18	44
Total Nacional	34 Palencia	Dato base	2017SM17	40
Total Nacional	34 Palencia	Dato base	2017SM16	39
Total Nacional	34 Palencia	Dato base	2017SM15	45
Total Nacional	34 Palencia	Dato base	2017SM14	38
Total Nacional	34 Palencia	Dato base	2017SM13	39
Total Nacional	34 Palencia	Dato base	2017SM12	41
Total Nacional	34 Palencia	Dato base	2017SM11	49
Total Nacional	34 Palencia	Dato base	2017SM10	36
